Drug	MIC (μg/ml)	INT	AR Bank
Amikacin	64	R	445
Aztreonam	>64	R	445
Cefepime	>32	R	445
Ceftazidime	32	R	445
Ceftazidime/avibactam 1	16	R	445
Ciprofloxacin	>8	R	445
Colistin	1	S	445
Doripenem	>8	R	445
Gentamicin	>16	R	445
Imipenem	32	R	445
Imipenem+chelators 2	32	---	445
Levofloxacin	>8	R	445
Meropenem	>8	R	445
Piperacillin/tazobactam 1	>128	R	445
Tobramycin	>16	R	445
