Drug	MIC (μg/ml)	INT	AR Bank
Amphotericin B 1	0.38	S	581
Anidulafungin	0.03	S	581
Caspofungin	0.03	S	581
Fluconazole	128	R	581
Isavuconazole	4	---	581
Itraconazole	>16	---	581
Micafungin	0.008	S	581
Posaconazole	4	---	581
Voriconazole	4	---	581
