Drug	MIC (μg/ml)	INT	AR Bank
Amphotericin B 1	0.25	S	589
Anidulafungin	0.06	S	589
Caspofungin	0.06	S	589
Fluconazole	2	S	589
Isavuconazole	0.06	---	589
Itraconazole	0.5	---	589
Micafungin	0.06	S	589
Posaconazole	0.125	---	589
Voriconazole	0.03	S	589
