Drug	MIC (μg/ml)	INT	AR Bank
Amikacin	8	S	449
Aztreonam	>64	R	449
Cefepime	>32	R	449
Ceftazidime	>128	R	449
Ceftazidime/avibactam 1	8	S	449
Ceftolozane/tazobactam 1	>16	R	449
Ciprofloxacin	>8	R	449
Colistin	1	S	449
Doripenem	>8	R	449
Gentamicin	>16	R	449
Imipenem	16	R	449
Imipenem+chelators 2	8	---	449
Levofloxacin	>8	R	449
Meropenem	>8	R	449
Piperacillin/tazobactam 1	128	R	449
Tobramycin	>16	R	449
