Drug	MIC (μg/ml)	INT	AR Bank
Amikacin	8	S	447
Aztreonam	4	S	447
Cefepime	2	S	447
Ceftazidime	2	S	447
Ceftazidime/avibactam 1	2	S	447
Ciprofloxacin	< =0.25	S	447
Colistin	1	S	447
Doripenem	1	S	447
Gentamicin	2	S	447
Imipenem	4	I	447
Imipenem+chelators 2	2	---	447
Levofloxacin	0.5	S	447
Meropenem	2	S	447
Piperacillin/tazobactam 1	< =4	S	447
Tobramycin	1	S	447
