Drug	MIC (μg/ml)	INT	AR Bank
Amphotericin B 1	0.38	---	383
Anidulafungin	1	---	383
Caspofungin	0.25	---	383
Fluconazole	128	---	383
Flucytosine	0.5	---	383
Itraconazole	0.5	---	383
Micafungin	1	---	383
Posaconazole	0.5	---	383
Voriconazole	4	---	383
